County,Population
Mombasa,1208333
Kwale,866820
Kilifi,1453787
Tana River,315943
Lamu,143920
Taita Taveta,340671
Garissa,841353
Wajir,781263
Mandera,867457
Marsabit,459785
Isiolo,268002
Meru,1545714
Tharaka,393177
Embu,608599
Kitui,1136187
Machakos,1421932
Makueni,987653
Nyandarua,638289
Nyeri,759164
Kirinyaga,610411
Murang'a,1056640
Kiambu,2417735
Turkana,926976
West Pokot,621241
Samburu,310327
Trans Nzoia,990341
Uasin Gishu,1163186
Keiyo-Marakwet,454480
Nandi,885711
Baringo,666763
Laikipia,518560
Nakuru,2162202
Narok,1157873
Kajiado,1117840
Kericho,901777
Bomet,875689
Kakamega,1867579
Vihiga,590013
Bungoma,1670570
Busia,893681
Siaya,993183
Kisumu,1155574
Homa Bay,1131950
Migori,1116436
Kisii,1266860
Nyamira,605576
Nairobi,4397073
